,Unnamed: 0.1,Unnamed: 0,identificación,id_host,latitud,longitud,se adapta,noches_mínimo,noches_maximas,noches_mínimo_avg_ntm,máximas_noches_avg_ntm,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,número_de_reseñas,número_de_reviews_ltm,número_de_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_comunicación,review_scores_location,review_scores_value,calculado_host_listings_count,listados_host_calculados_recuento_casas_enteras,calculado_host_listings_count_private_rooms,calculado_host_listings_count_shared_rooms
8034,8034,8034,1.16e+18,568348803,39.4797772,-0.3799938,3.0,1.0,365,1.0,326.1,27,57,87,362,2.0,2.0,2.0,4.5,5.0,5.0,5.0,5.0,4.5,4.0,2.0,2.0,0.0,0.0
8035,8035,8035,1.16e+18,97229818,39.46414,-0.33932,3.0,1.0,1125,3.1,1125.0,11,40,67,330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0
8036,8036,8036,1.16e+18,4984249,39.47864023,-0.381508693,4.0,2.0,60,2.0,1125.0,6,25,52,143,20.0,20.0,5.0,4.45,4.45,4.45,4.2,4.75,4.75,4.35,2.0,2.0,0.0,0.0
8037,8037,8037,1.16e+18,385268845,39.46015704,-0.376343429,2.0,2.0,10,2.0,10.0,20,34,34,34,8.0,8.0,3.0,4.75,4.63,4.63,4.88,4.88,4.88,4.75,1.0,0.0,1.0,0.0
8038,8038,8038,1.16e+18,577703523,39.45253,-0.38615,4.0,1.0,365,1.0,365.0,16,32,49,223,2.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,0.0
8039,8039,8039,1.16e+18,452983697,39.46422564,-0.332165647,1.0,1.0,365,1.0,365.0,2,17,41,151,17.0,17.0,4.0,4.53,4.47,4.82,5.0,4.82,4.76,4.47,2.0,0.0,2.0,0.0
8040,8040,8040,1.16e+18,189042465,39.46097,-0.37111,1.0,5.0,365,5.0,365.0,3,18,40,40,6.0,6.0,2.0,5.0,4.83,5.0,5.0,5.0,5.0,4.83,2.0,1.0,1.0,0.0
8041,8041,8041,1.16e+18,47223754,39.46086,-0.33495,4.0,3.0,30,3.9,30.0,3,4,8,8,4.0,4.0,2.0,5.0,4.75,4.5,5.0,5.0,4.25,5.0,2.0,1.0,1.0,0.0
8042,8042,8042,1.16e+18,141191445,39.4954317,-0.3624108,2.0,1.0,365,1.0,365.0,3,11,23,23,44.0,44.0,1.1,5.0,5.0,5.0,4.95,5.0,4.86,4.95,6.0,6.0,0.0,0.0
8043,8043,8043,1.16e+18,1315486,39.47264,-0.33474,1.0,1.0,365,1.0,365.0,0,0,0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,8.0,1.0
8044,8044,8044,1.16e+18,500117969,39.46483,-0.38821,4.0,2.0,365,8.0,361.1,18,44,74,310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
8045,8045,8045,1.16e+18,492972848,39.49231,-0.3712,1.0,1.0,365,1.0,365.0,29,59,89,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8046,8046,8046,1.16e+18,458226891,39.47274715,-0.379218195,2.0,2.0,365,2.1,365.0,12,34,35,84,27.0,27.0,1.1,4.56,4.59,4.37,4.78,4.74,4.93,4.63,2.0,0.0,2.0,0.0
8047,8047,8047,1.16e+18,458226891,39.47231,-0.37864,2.0,2.0,365,2.1,365.0,12,34,35,84,19.0,19.0,4.0,4.89,4.79,4.79,4.89,4.84,5.0,4.84,2.0,0.0,2.0,0.0
8048,8048,8048,1.16e+18,548702759,39.47128195,-0.379133903,1.0,3.0,365,2.9,365.0,8,27,39,41,18.0,18.0,4.0,4.78,4.94,4.78,4.78,4.83,4.89,4.94,7.0,0.0,7.0,0.0
8049,8049,8049,1.16e+18,548702759,39.47356,-0.37929,2.0,3.0,365,2.9,365.0,1,20,32,34,26.0,26.0,6.0,4.77,4.77,4.73,4.88,4.85,4.92,4.69,7.0,0.0,7.0,0.0
8050,8050,8050,1.16e+18,15845592,39.48669,-0.35671,2.0,6.0,31,6.0,31.0,1,1,8,8,4.0,4.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
8051,8051,8051,1.16e+18,52785462,39.46830041,-0.392297684,6.0,7.0,365,7.0,365.0,24,54,84,84,4.0,4.0,2.0,4.75,4.75,5.0,4.75,4.5,4.75,4.75,1.0,1.0,0.0,0.0
8052,8052,8052,1.16e+18,353947430,39.4725,-0.35356,4.0,4.0,1125,28.9,1125.0,0,0,0,79,10.0,10.0,3.0,4.8,4.8,4.7,4.9,5.0,4.3,4.7,1.0,1.0,0.0,0.0
8053,8053,8053,1.16e+18,578054867,39.4636177,-0.335391,2.0,1.0,365,1.1,1121.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
8054,8054,8054,1.16e+18,515074452,39.459809,-0.3380524,4.0,5.3,335,6.1,335.0,10,10,11,280,2.0,2.0,0.0,2.0,2.5,2.5,3.5,3.0,4.0,2.5,1.0,1.0,0.0,0.0
8055,8055,8055,1.16e+18,47223754,39.45836829,-0.338979935,2.0,3.0,5,3.0,5.0,7,7,7,7,3.0,3.0,0.0,4.67,5.0,4.67,5.0,5.0,5.0,5.0,2.0,1.0,1.0,0.0
8056,8056,8056,1.16e+18,425549869,39.46734132,-0.326725984,5.0,5.0,365,5.0,365.0,12,42,58,148,5.0,5.0,1.0,3.6,4.6,4.8,4.8,4.4,4.4,4.2,1.0,1.0,0.0,0.0
8057,8057,8057,1.16e+18,499867697,39.46415599,-0.352665558,3.0,1.0,365,1.0,365.0,29,59,87,267,4.0,4.0,0.0,4.25,3.5,3.5,5.0,5.0,5.0,4.0,3.0,0.0,3.0,0.0
8058,8058,8058,1.16e+18,546607750,39.47233855,-0.347712159,4.0,1.0,30,1.3,1125.0,13,34,58,148,8.0,8.0,1.0,4.88,4.88,4.88,5.0,4.88,4.5,4.88,3.0,3.0,0.0,0.0
8059,8059,8059,1.16e+18,443889032,39.49162029,-0.374872237,2.0,1.0,365,1.0,365.0,15,28,55,178,2.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,2.0,0.0,2.0,0.0
8060,8060,8060,1.16e+18,443889032,39.49162029,-0.374872237,1.0,1.0,365,1.0,365.0,10,34,63,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
8061,8061,8061,1.16e+18,465324815,39.47247938,-0.354229812,2.0,5.0,365,5.0,365.0,29,59,89,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,10.0,0.8,0.0
8062,8062,8062,1.16e+18,361974031,39.47283577,-0.349829936,3.4,1.0,365,1.0,365.0,11,14,14,14,7.0,7.0,2.0,4.29,4.57,4.86,4.57,4.43,4.43,4.29,5.0,5.0,0.0,0.0
8063,8063,8063,1.16e+18,1315486,39.47253016,-0.336629093,1.0,1.0,365,1.0,365.0,0,0,0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,8.0,1.0
8064,8064,8064,1.16e+18,577567578,39.479125,-0.3780409,4.0,2.0,1125,2.0,1125.0,1,8,29,304,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
8065,8065,8065,1.16e+18,578264826,39.46472,-0.35181,4.0,4.0,15,1.4,30.0,4,19,29,29,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
8066,8066,8066,1.16e+18,578296303,39.45488,-0.3882815,2.0,1.0,365,1.0,365.0,17,47,77,166,13.0,13.0,0.0,4.69,4.62,4.62,4.62,4.77,4.54,4.38,1.0,0.0,1.0,0.0
8067,8067,8067,1.16e+18,53055407,39.44978,-0.38962,2.0,1.0,10,1.0,10.0,13,36,65,155,12.0,12.0,3.0,4.92,4.92,4.5,4.92,4.83,4.5,4.5,1.0,0.0,1.0,0.0
8068,8068,8068,1.16e+18,578379703,39.459962,-0.3331174,6.0,1.0,365,2.4,365.0,21,27,27,27,6.0,6.0,1.0,4.17,4.17,4.33,4.67,4.67,4.33,4.33,5.0,5.0,0.0,0.0
8069,8069,8069,1.16e+18,179848215,39.45497,-0.38529,2.0,20.0,270,20.0,270.0,7,7,7,7,3.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,4.67,5.0,0.0,5.0,0.0
8070,8070,8070,1.16e+18,1315486,39.47438,-0.33547,1.0,1.0,365,1.0,365.0,0,0,0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,8.0,1.0
8071,8071,8071,1.16e+18,566747909,39.4656902,-0.3321733,4.0,2.0,365,2.0,365.0,14,42,70,251,11.0,11.0,2.0,5.0,5.0,4.91,5.0,5.0,4.82,4.91,3.0,3.0,0.0,0.0
